,No,구분,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
465,227,train,민영은 가끔 돈을 저축하여 원하는 물건을 살 돈을 확보하기를 좋아합니다. number0 일 그녀는 그녀의 저축을 계산하기로 결정했습니다. 그녀는 돼지 저금통을 열고 다른 동전과 dollar 지폐를 분류했습니다. 만약 그녀가 number1 니켈의 총액을 세었다면 (1니켈은 number2 cents에 해당함) 그녀가 가진 총 금액은 얼마입니까?,5 30,* number0 number1,150.0,"[1, 36, 5, 37, 38, 15, 16, 17, 24, 28, 29, 30]",3,Multiplication,she also ate a hearty breakfast so that she would have enough energy . she bought number0 pieces of her favorite bread . if each piece of bread costs number1 cents,how much did jenny spend for her breakfast ?
466,228,train,학교에 가기 위해 유정은 학교의 2 층 버스를 타기로 결정했습니다. 버스에는 총 number0 열의 좌석이 있으며 각 열에는 number1 명의 어린이를 수용 할 수 있습니다. 총 몇 명의 아이들이 학교 버스를 탈 수 있습니까?,20 4,* number0 number1,80.0,"[32, 33, 1, 6, 42, 43, 44, 20, 21, 22, 26, 31]",3,Multiplication,to get to school jenny decided to ride the school 's double decker bus . the bus has a total of number0 rows of seats and each row has a capacity of number1 kids .,how many kids in total can ride the school bus ?
467,229,train,그녀가 학교에 갔을 때 그녀는 학교가 각각 number1 개의 교실이있는 number0 개의 건물로 구성되어 있음을 알았습니다. 학교에는 몇 개의 교실이 있습니까?,9 30,* number0 number1,270.0,"[1, 6, 12, 13, 14, 15, 16, 17, 18, 24, 25, 26]",3,Multiplication,when she got to school she saw that the school is composed of number0 buildings each having number1 classrooms .,how many classrooms does the school have ?
468,230,train,그녀는 또한 학교의 선생님들을 알아 가려고 노력했습니다. 그녀는 학교에 number0 개의 학과가 있고 각학과에 number1 명의 교사가 있다는 것을 알게되었습니다. 총 몇 명의 교사가 있습니까?,7 20,* number0 number1,140.0,"[1, 35, 4, 5, 6, 36, 37, 14, 18, 19, 20, 25, 27, 28, 29]",3,Multiplication,she also tried to get to know the teachers in the school . she found out that there are number0 departments in the school and each department has number1 teachers .,how many teachers are there in total ?
469,231,train,윤기는 자동차 애호가이고 취미로 여러 장소를 운전하는 것을 좋아합니다. 그래서 그의 휴가를 위해 그는 자신이 좋아하는 장소를 돌아 다니기로 결정했습니다. 그의 첫 번째 목적지는 그의 나라에서 number0 번째로 높은 하늘폭포 입니다. 그것은 그들의 도시에서 가장 높은 건물의 수보다 number1 배 높은 것으로 알려져 있습니다. 건물의 높이가 number2 feet인 경우 하늘폭포는 얼마나 높은가?,1 20 9,* number1 number2,180.0,"[64, 65, 34, 35, 36, 66, 70, 71, 72, 48, 49, 50]",3,Multiplication,stanley a car enthusiast loves to drive across different places as a hobby . so for his vacation he decided to go around his favorite places . his first destination is the famous sky falls number0 of the tallest waterfalls in his country . it is said to be number1 times as tall as the tallest building in their city . if the building is number2 feet tall,how tall is sky falls ?
470,232,train,그가 거기에 도착했을 때 그는 폭포의 정상까지 올라 갔다. 누군가 정상에 오르는 데는 보통 number0 분이 걸립니다. 윤기는 경치를 보는 데 시간이 걸렸기 때문에 그의 등반은 평소보다 number1 배 더 오래 걸렸습니다. 윤기가 정상에 오르는데 몇 분 걸렸나요?,30 7,* number0 number1,210.0,"[1, 2, 5, 39, 40, 41, 18, 19, 20, 56, 57, 58]",3,Multiplication,when he arrived there he went on to climb to the top of the falls . it usually takes number0 minutes for someone to get to the top . stanley took time to see the view so his climb took number1 times longer than the usual .,how many minutes did it take stanley to get to the top ?
471,233,train,폭포를 내려간 후 그는 바위 안개 산으로 갔다. 산이 하늘폭포보다 도시에서 number0 배 더 멀리 떨어져 있고 하늘폭포가 도시에서 number1 miles이면 도시에서 바위 안개가 얼마나 멀리 떨어져 있습니까?,50 8,* number0 number1,400.0,"[41, 42, 43, 16, 17, 18, 29, 30, 31]",3,Multiplication,after going down the falls he then went to rock mist mountains . if the mountain is number0 times farther from the city than sky falls and sky falls is number1 miles from the city,how far is the rocky mist from the city ?
472,234,train,산에 도착하기 전에 윤기는 도로를위한 새 타이어를 사기 위해 자동차 가게에 들렀다. 그가 number1 dollars에 number0 개의 타이어를 샀다면 그는 타이어에 총 얼마를 썼습니까?,4 60.00,* number0 number1,240.0,"[33, 2, 34, 35, 11, 12, 20, 21, 22, 23, 25, 26, 27]",3,Multiplication,before reaching the mountains stanley stopped over a car shop to buy new tires for the road . if he bought number0 tires each for $ number1,how much did he spend for tires in total ?
473,235,train,도시는 발렌타인 데이이고 시장 호석이는 여성을위한 기관에 꽃을 줘서 축하하고 싶어합니다. 그의 첫 번째 수혜자는 노인을위한 요양원이었습니다. 그는 number0 세트의 꽃 number1 조각을 각각 샀다. 그는 양로원을 위해 얼마나 많은 꽃을 샀습니까?,3 90,* number0 number1,270.0,"[1, 35, 36, 37, 39, 40, 41, 42, 51, 52, 53]",3,Multiplication,it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each .,how many flowers did he buy for the nursing home ?
474,236,train,태형 부시장은 시장의 옹호에 동참하기를 원했습니다. 그는 파티를 조직하고 도시 전체를 초대했습니다. 그가 number1 명의 직원을 가진 number0 명의 케이 터러를 고용했다면 파티를 위해 일하는 사람은 몇 명일까요?,5 50,* number0 number1,250.0,"[32, 2, 5, 38, 39, 40, 26, 27, 28, 29, 30, 31]",3,Multiplication,vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each,how many people are working for the party ?
475,237,train,그날 이후 그들은 number0 개의 기관을 행복하게 만들 수있었습니다. 각 기관에 number1 명이있는 경우. 시장과 부시장이 얼마나 많은 사람들을 행복하게 만들었습니까?,6 80,* number0 number1,480.0,"[1, 3, 7, 8, 9, 13, 15, 16, 17, 27, 28, 29]",3,Multiplication,after the day they were able to make number0 institutions happy . if each institution has number1 people .,how many people were made happy by the mayor and vice-mayor ?
476,238,train,지민은 여름의 마지막 주를 즐기기 위해 친구들과 해변에갔습니다. 그들이 해변에 도착했을 때 그들은 몇 주 동안 머물 수 있도록 집을 빌렸습니다. 학장을 포함한 숫자가 number0 명이고 각각 ​​임대료로 number1 dollars를 지불했다면 총 얼마를 지불 했습니까?,7 70.00,* number0 number1,490.0,"[39, 40, 41, 10, 46, 48, 49, 50, 57, 58, 59]",3,Multiplication,dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent,how much did they pay in total ?
477,239,train,지민은 그들이 해변에 잠시 머무를 것이라는 것을 알고 있었기 때문에 머무는 동안 매주 number0 벌의 옷을 가져 왔습니다. 지민이 number1 주 동안 머무르면 옷 몇 벌을 가져 왔나요?,30 4,* number0 number1,120.0,"[32, 33, 34, 9, 41, 42, 43, 15, 16, 17, 18, 22]",3,Multiplication,dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there,how many sets of clothes did he bring ?
478,240,train,휴식 후 그들은 수영하러 가기로 결정했습니다. 물의 깊이가 number0 곱하기 지민의 키이고 그가 수심 number1 feet에 서 있다면 물은 얼마나 깊은가?,10 6,* number0 number1,60.0,"[32, 16, 17, 18, 25, 26, 27, 30, 31]",3,Multiplication,after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet,how deep was the water ?
479,241,train,지민의 친구는 보트 타기를 결정했습니다. 라이드 비용이 1 miles 당 number0 dollars이고 number1 miles을 여행 한 경우 라이드 비용은 얼마입니까?,8.00 40,* number0 number1,320.0,"[32, 33, 3, 16, 17, 18, 19, 24, 25, 26, 31]",3,Multiplication,mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 miles,how much would the ride cost mark ?
480,242,train,태형은 항상 암석과 광물을 연구하는 것을 좋아했습니다. 그는 다양한 종류의 암석에 대한 책과 샘플로 가득 찬 방을 가지고 있습니다. number0 특정 날 그는 자신의 미네랄 샘플을 살펴보기 위해 방으로 갔다. 만약 그가 선반 당 number1 개의 광물 샘플을 가지고 있고 그가 총 number2 개의 선반을 가지고 있다면 그가 가지고있는 광물 샘플은 몇 개입니까?,1 65 7,* number1 number2,455.0,"[1, 2, 66, 67, 68, 60, 47, 48, 49, 14, 61, 52, 18, 19, 23, 59, 28, 29, 30]",3,Multiplication,bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelves,how many mineral samples does he have ?
481,243,train,태형은 그의 책도 살펴 보았습니다. 그가 number1 개 책장에 number0 권의 책을 가지고 있다면 총 몇 권의 책을 가지고 있습니까?,56 9,* number0 number1,504.0,"[2, 12, 13, 14, 16, 18, 19, 20, 26, 27, 28]",3,Multiplication,bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelves,how many books does he have in total ?
482,244,train,태형은 그의 컬렉션에 number0 개의 보석을 가지고 있었고 보석 가게에서 친구에게 팔았습니다. 보석이 number1 dollars에 팔렸다면 브라이언은 총 얼마의 돈을 얻었습니까?,8 1785.00,* number0 number1,14280.0,"[1, 2, 3, 4, 33, 34, 35, 25, 26, 27]",3,Multiplication,bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each,how much money did bryan get in total ?
483,245,train,나라의 수확기입니다. 가족이 과일 농장을 소유하고있는 정국이는 과일을 수확하는 동안 농부들을 감독 하느라 바쁘다. 그의 하루는 사과 과수원에가는 것으로 시작됩니다. 농부들은 매일 과수원의 number1 개 구역에서 사과 자루 number0 개를 수확한다고보고했습니다. 매일 몇 개의 사과를 수확합니까?,45 8,* number0 number1,360.0,"[64, 5, 42, 43, 44, 48, 50, 51, 52, 62, 63]",3,Multiplication,it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .,how many apples are harvested every day ?
484,246,train,그의 체크리스트 다음은 딸기 밭입니다. 그곳에서 그는 딸기 식물의 모든 줄에 대해 number0 킬로그램의 과일을 얻을 수 있다는 것을 발견했습니다. 딸기 식물이 number1 줄이면 수확 할 수있는 딸기는 몇 킬로그램입니까?,268 7,* number0 number1,1876.0,"[32, 2, 7, 41, 42, 43, 16, 17, 18, 22, 30, 31]",3,Multiplication,next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants,how many kilograms of strawberries can they harvest ?
485,247,train,그는 그 다음 수확되는 오렌지를 보러 갔다. 그는 그들이 하루에 number0 자루를 수확한다는 것을 알아 냈습니다. 수확 후 number1 일이 지나면 얼마나 많은 오렌지 자루를 갖게 될까요?,83 6,* number0 number1,498.0,"[32, 1, 33, 5, 7, 15, 16, 17, 18, 29, 30, 31]",3,Multiplication,he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day .,how many sacks of oranges will they have after number1 days of harvest ?
